pitcairn         | bpe  1| am  1|  64x1  | {X0, X1, X2, X3, X4, X5}
pitcairn         | bpe  1| am  2|   8x8  | {X0, Y0, X1, Y1, X2, Y2}
pitcairn         | bpe  1| am D2|  32x8  | {X0, X1, X2, Y1, Y0, Y2, X3, X4}
pitcairn         | bpe  1| am  4|  64x512| {X0, Y0, X1, Y1, X2, Y2, Y3, Y4, X4^X5^Y3, X3^Y4, X5^Y5, Y8, Y7^Y8, Y6, Y5}
pitcairn         | bpe  1| am D4| 128x256| {X0, X1, X2, Y1, Y0, Y2, Y3, Y4, X4^X5^Y3, X3^Y4, X5^Y5, X6, Y7, Y6, Y5}
pitcairn         | bpe  2| am  1|  32x1  | {0, X0, X1, X2, X3, X4}
pitcairn         | bpe  2| am  2|   8x8  | {0, X0, Y0, X1, Y1, X2, Y2}
pitcairn         | bpe  2| am D2|  32x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3, X4}
pitcairn         | bpe  2| am  4|  64x256| {0, X0, Y0, X1, Y1, X2, Y2, Y3, X4^X5^Y3, X3^Y4, X5^Y5, Y7, Y6^Y7, Y5, Y4}
pitcairn         | bpe  2| am D4| 128x128| {0, X0, X1, X2, Y0, Y1, Y2, Y3, X4^X5^Y3, X3^Y4, X5^Y5, X6, Y6, Y5, Y4}
pitcairn         | bpe  4| am  1|  16x1  | {0, 0, X0, X1, X2, X3}
pitcairn         | bpe  4| am  2|   8x8  | {0, 0, X0, Y0, X1, Y1, X2, Y2}
pitcairn         | bpe  4| am D2|  32x8  | {0, 0, X0, X1, Y0, X2, Y1, Y2, X3, X4}
pitcairn         | bpe  4| am  4|  64x128| {0, 0, X0, Y0, X1, Y1, X2, Y2, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3}
pitcairn         | bpe  4| am D4|  64x128| {0, 0, X0, X1, Y0, X2, Y1, Y2, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3}
pitcairn         | bpe  8| am  1|   8x1  | {0, 0, 0, X0, X1, X2}
pitcairn         | bpe  8| am  2|   8x8  | {0, 0, 0, X0, Y0, X1, Y1, X2, Y2}
pitcairn         | bpe  8| am D2|  32x8  | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, X4}
pitcairn         | bpe  8| am  4|  64x128| {0, 0, 0, X0, Y0, X1, Y1, X2, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3, Y2}
pitcairn         | bpe  8| am D4|  64x128| {0, 0, 0, X0, Y0, X1, X2, Y1, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3, Y2}
pitcairn         | bpe 16| am  1|   8x1  | {0, 0, 0, 0, X0, X1, X2}
pitcairn         | bpe 16| am  2|   8x8  | {0, 0, 0, 0, X0, Y0, X1, Y1, X2, Y2}
pitcairn         | bpe 16| am D2|  32x8  | {0, 0, 0, 0, X0, Y0, X1, Y1, X2, Y2, X3, X4}
pitcairn         | bpe 16| am  4|  64x128| {0, 0, 0, 0, X0, Y0, X1, Y1, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3, X2, Y2}
pitcairn         | bpe 16| am D4|  64x128| {0, 0, 0, 0, X0, Y0, X1, Y1, X4^X5^Y3, X3^Y4, X5^Y5, Y6, Y5^Y6, Y4, Y3, X2, Y2}
bonaire          | bpe  1| am  1|  64x1  | {X0, X1, X2, X3, X4, X5}
bonaire          | bpe  1| am  2|   8x8  | {X0, Y0, X1, Y1, X2, Y2}
bonaire          | bpe  1| am D2|  32x8  | {X0, X1, X2, Y1, Y0, Y2, X3, X4}
bonaire          | bpe  1| am  4| 128x128| {X0, Y0, X1, Y1, X2, Y2, Y3, Y4, X3^X4^Y3, X4^Y4, X5, X6, Y6, Y5}
bonaire          | bpe  1| am D4| 128x128| {X0, X1, X2, Y1, Y0, Y2, Y3, Y4, X3^X4^Y3, X4^Y4, X5, X6, Y6, Y5}
bonaire          | bpe  1| am 19| 256x256| {X0, Y0, X1, Y1, X2, Y2, X5, Y3, X3^X4^Y3, X4^Y4, X6, X7, Y7, Y6, Y4, Y5}
bonaire          | bpe  1| amD19| 256x256| {X0, X1, X2, Y1, Y0, Y2, X5, Y3, X3^X4^Y3, X4^Y4, X6, X7, Y7, Y6, Y4, Y5}
bonaire          | bpe  2| am  1|  32x1  | {0, X0, X1, X2, X3, X4}
bonaire          | bpe  2| am  2|   8x8  | {0, X0, Y0, X1, Y1, X2, Y2}
bonaire          | bpe  2| am D2|  32x8  | {0, X0, X1, X2, Y0, Y1, Y2, X3, X4}
bonaire          | bpe  2| am  4| 128x64 | {0, X0, Y0, X1, Y1, X2, Y2, Y3, X3^X4^Y3, X4^Y4, X5, X6, Y5, Y4}
bonaire          | bpe  2| am D4| 128x64 | {0, X0, X1, X2, Y0, Y1, Y2, Y3, X3^X4^Y3, X4^Y4, X5, X6, Y5, Y4}
bonaire          | bpe  2| am 19| 256x128| {0, X0, Y0, X1, Y1, X2, Y2, X5, X3^X4^Y3, X4^Y4, X6, X7, Y6, Y5, Y3, Y4}
bonaire          | bpe  2| amD19| 256x128| {0, X0, X1, X2, Y0, Y1, Y2, X5, X3^X4^Y3, X4^Y4, X6, X7, Y6, Y5, Y3, Y4}
bonaire          | bpe  4| am  1|  16x1  | {0, 0, X0, X1, X2, X3}
bonaire          | bpe  4| am  2|   8x8  | {0, 0, X0, Y0, X1, Y1, X2, Y2}
bonaire          | bpe  4| am D2|  32x8  | {0, 0, X0, X1, Y0, X2, Y1, Y2, X3, X4}
bonaire          | bpe  4| am  4|  64x64 | {0, 0, X0, Y0, X1, Y1, X2, Y2, X3^X4^Y3, X4^Y4, X5, Y5, Y4, Y3}
bonaire          | bpe  4| am D4|  64x64 | {0, 0, X0, X1, Y0, X2, Y1, Y2, X3^X4^Y3, X4^Y4, X5, Y5, Y4, Y3}
bonaire          | bpe  4| am 19| 128x128| {0, 0, X0, Y0, X1, Y1, X2, Y2, X3^X4^Y3, X4^Y4, X5, X6, Y6, Y5, Y3, Y4}
bonaire          | bpe  4| amD19| 128x128| {0, 0, X0, X1, Y0, X2, Y1, Y2, X3^X4^Y3, X4^Y4, X5, X6, Y6, Y5, Y3, Y4}
bonaire          | bpe  8| am  1|   8x1  | {0, 0, 0, X0, X1, X2}
bonaire          | bpe  8| am  2|   8x8  | {0, 0, 0, X0, Y0, X1, Y1, X2, Y2}
bonaire          | bpe  8| am D2|  32x8  | {0, 0, 0, X0, Y0, X1, X2, Y1, Y2, X3, X4}
